mean,variance,skew,histogram,histogram_tuple,frequency,sorted_set,is_used,log_frequency,sqrt_frequency
1.6,1.44,1.4999999999999998,"[0, 4, 0, 0, 1, 0]","(0, 4, 0, 0, 1, 0)",1,"{1, 1, 1, 1, 4}",True,0.6931471805599453,1.0
1.8,2.5600000000000005,1.5,"[0, 4, 0, 0, 0, 1]","(0, 4, 0, 0, 0, 1)",1,"{1, 1, 1, 1, 5}",True,0.6931471805599453,1.0
1.4,0.24,0.4082482904638635,"[0, 3, 2, 0, 0, 0]","(0, 3, 2, 0, 0, 0)",1,"{1, 1, 1, 2, 2}",True,0.6931471805599453,1.0
1.6,0.64,0.8437499999999997,"[0, 3, 1, 1, 0, 0]","(0, 3, 1, 1, 0, 0)",1,"{1, 1, 1, 2, 3}",True,0.6931471805599453,1.0
1.8,1.36,1.15004933566153,"[0, 3, 1, 0, 1, 0]","(0, 3, 1, 0, 1, 0)",0,"{1, 1, 1, 2, 4}",False,0.0,0.0
2.0,2.4,1.2909944487358056,"[0, 3, 1, 0, 0, 1]","(0, 3, 1, 0, 0, 1)",0,"{1, 1, 1, 2, 5}",False,0.0,0.0
1.8,0.9600000000000002,0.4082482904638628,"[0, 3, 0, 2, 0, 0]","(0, 3, 0, 2, 0, 0)",0,"{1, 1, 1, 3, 3}",False,0.0,0.0
2.0,1.6,0.592927061281571,"[0, 3, 0, 1, 1, 0]","(0, 3, 0, 1, 1, 0)",1,"{1, 1, 1, 3, 4}",True,0.6931471805599453,1.0
2.2,2.56,0.8437499999999997,"[0, 3, 0, 1, 0, 1]","(0, 3, 0, 1, 0, 1)",1,"{1, 1, 1, 3, 5}",True,0.6931471805599453,1.0
2.2,2.16,0.40824829046386263,"[0, 3, 0, 0, 2, 0]","(0, 3, 0, 0, 2, 0)",2,"{1, 1, 1, 4, 4}",True,1.0986122886681098,1.4142135623730951
2.4,3.04,0.5071295169770316,"[0, 3, 0, 0, 1, 1]","(0, 3, 0, 0, 1, 1)",3,"{1, 1, 1, 4, 5}",True,1.3862943611198906,1.7320508075688772
2.6,3.8400000000000007,0.4082482904638628,"[0, 3, 0, 0, 0, 2]","(0, 3, 0, 0, 0, 2)",3,"{1, 1, 1, 5, 5}",True,1.3862943611198906,1.7320508075688772
1.6,0.24,-0.4082482904638636,"[0, 2, 3, 0, 0, 0]","(0, 2, 3, 0, 0, 0)",1,"{1, 1, 2, 2, 2}",True,0.6931471805599453,1.0
