season,episode,episode_id,title,imdb_id,hist1_pct,hist2_pct,hist3_pct,hist4_pct,hist5_pct,hist6_pct,hist7_pct,hist8_pct,hist9_pct,hist10_pct,avg_anger,avg_awkwardness,avg_frustration_or_despair,avg_humor,avg_joy_or_excitement,avg_sarcasm,avg_self_deprecation,contestant_avg_age,contestant_prop_female,contestant_prop_comedians,contestant_nationality_diversity,contestant_avg_experience
12,5,12_5,Croissants is croissants,tt14687866,0.0,0.6,0.0,0.0,0.0,3.9,20.0,22.8,23.9,28.9,0.2006802721088435,2.4776785714285716,0.0204778156996587,3.1345454545454547,0.0653846153846153,1.99625468164794,1.6123348017621146,36.2,0.6,0.6,2,22.5
12,6,12_6,A chair in a sweet,tt14687872,0.0,0.0,0.6,0.0,2.9,4.6,24.6,31.4,13.1,22.9,0.1923076923076923,2.4755244755244754,0.0174825174825174,3.0734265734265733,0.0874125874125874,2.013986013986014,1.6153846153846154,36.2,0.6,0.6,2,22.5
12,7,12_7,The integrity of the product,tt14687878,0.0,0.6,1.1,0.6,1.1,3.4,22.3,28.6,17.1,25.1,0.1418685121107266,2.4775086505190314,0.0069204152249134,3.114186851211073,0.0346020761245674,2.124567474048443,1.508650519031142,36.2,0.6,0.6,2,22.5
12,8,12_8,A couple of Ethels,tt14687882,0.0,0.0,0.6,0.0,1.8,3.5,22.2,35.1,12.3,24.6,0.1697416974169741,2.4132841328413286,0.0,2.996309963099631,0.047970479704797,1.977859778597786,1.6051660516605166,36.2,0.6,0.6,2,22.5
12,9,12_9,Nothing matters,tt14687888,0.0,0.0,0.6,0.0,1.2,3.0,21.0,31.7,18.6,24.0,0.1739130434782608,2.7558528428093645,1.0066889632107023,2.9364548494983276,0.9230769230769232,1.9899665551839465,1.6923076923076923,36.2,0.6,0.6,2,22.5
12,10,12_10,Caring Uncle Minpict,tt14687890,0.5,0.0,0.0,0.0,0.0,3.2,15.8,18.4,25.8,36.3,0.0931899641577061,2.5232974910394264,0.017921146953405,3.082437275985663,0.1182795698924731,1.8387096774193548,1.5304659498207884,36.2,0.6,0.6,2,22.5
13,1,13_1,The noise that blue makes,tt15532994,0.5,1.4,0.0,0.0,0.9,3.2,17.9,28.4,25.7,22.0,0.121311475409836,2.521311475409836,0.0491803278688524,3.2295081967213113,0.2262295081967213,1.7475409836065574,1.5540983606557377,43.2,0.6,0.6,3,17.0
13,2,13_2,Birdy hand finger,tt15532996,1.1,0.5,0.0,0.0,1.1,5.9,21.6,33.5,15.1,21.1,0.1357142857142857,2.6714285714285713,0.025,2.967857142857143,0.0642857142857142,1.9607142857142856,1.6,43.2,0.6,0.6,3,17.0
13,3,13_3,I think I've got this,tt15532998,1.1,0.5,0.0,2.2,1.1,4.9,20.9,30.2,15.4,23.6,0.2517241379310345,2.5448275862068965,0.0103448275862068,3.0827586206896553,0.0758620689655172,1.9551724137931037,1.5517241379310345,43.2,0.6,0.6,3,17.0
13,4,13_4,Shoe Who,tt15533000,0.5,0.5,1.0,0.5,0.0,4.2,16.1,22.4,25.5,29.2,0.3171641791044776,2.548507462686567,0.0223880597014925,3.0186567164179103,0.0746268656716417,2.0223880597014925,1.5597014925373134,43.2,0.6,0.6,3,17.0
13,5,13_5,Having a little chuckle,tt15533002,1.1,0.0,0.6,0.0,4.0,2.8,20.9,26.0,22.0,22.6,0.2328767123287671,2.530821917808219,0.0342465753424657,3.154109589041096,0.0445205479452054,1.9965753424657535,1.6712328767123288,43.2,0.6,0.6,3,17.0
13,6,13_6,The 75th question,tt15533004,0.6,0.6,0.6,0.0,1.7,4.0,15.3,28.4,21.0,27.8,0.27,2.52,0.76,3.1233333333333335,1.1733333333333331,1.9766666666666663,1.6666666666666667,43.2,0.6,0.6,3,17.0
13,7,13_7,Heg,tt15533006,2.4,0.6,0.0,0.0,2.4,6.0,21.0,32.9,12.6,22.2,0.168,2.504,0.032,3.104,0.08,2.044,1.62,43.2,0.6,0.6,3,17.0
13,8,13_8,You tuper super,tt15533008,1.2,0.6,0.6,0.6,1.2,4.9,23.8,34.1,10.4,22.6,0.1325757575757575,2.7045454545454546,0.7272727272727273,2.9318181818181817,0.9053030303030304,1.981060606060606,1.6666666666666667,43.2,0.6,0.6,3,17.0
13,9,13_9,It might be wind,tt15533010,1.2,0.0,0.6,0.6,1.2,5.0,22.4,32.3,13.0,23.6,0.1273408239700374,2.5168539325842696,0.0224719101123595,3.052434456928839,0.0337078651685393,1.9588014981273407,1.6142322097378277,43.2,0.6,0.6,3,17.0
